,cur,est,actual,,,,,
2017-09-05,46450,46285.21,47250,964.7890625,164.79,-800,0,1
2017-09-06,47250,46882.957,47300,417.0429688,367.043,-50,0,1
2017-09-07,47300,46906.445,47300,393.5546875,393.555,0,0,0
2017-09-08,47300,46875.387,47350,474.6132813,424.613,-50,0,1
2017-09-11,47350,46923.195,48200,1276.804688,426.805,-850,0,1
2017-09-12,48200,47599.938,48050,450.0625,600.062,150,0,0
2017-09-13,48050,47627.85,47050,577.8515625,422.15,1000,0,0
2017-09-14,47050,46893.13,47050,156.8710938,156.87,0,0,0
2017-09-15,47050,46550.85,46950,399.1484375,499.15,100,0,0
2017-09-18,46950,46714.17,46300,414.171875,235.83,650,0,0
2017-09-19,46300,46228.863,46900,671.1367188,71.137,-600,0,1
2017-09-20,46900,46679.734,46700,20.265625,220.266,200,0,0
2017-09-21,46700,46493.89,43600,2893.890625,206.11,3100,0,0
2017-09-25,43600,43204.344,43600,395.65625,395.656,0,0,0
2017-09-26,43600,43347.727,43650,302.2734375,252.273,-50,0,1
2017-09-27,43650,43527.477,44100,572.5234375,122.523,-450,0,1
2017-09-28,44100,43697.97,44000,302.03125,402.03,100,0,0
2017-09-29,44000,43787.312,46100,2312.6875,212.688,-2100,0,1
2017-10-10,46100,45002.113,46050,1047.886719,1097.887,50,0,0
2017-10-11,46050,45723.066,46000,276.9335938,326.934,50,0,0
2017-10-12,46000,45626.473,45800,173.5273438,373.527,200,0,0
2017-10-13,45800,45384.543,46850,1465.457031,415.457,-1050,0,1
2017-10-16,46850,46515.168,46250,265.1679688,334.832,600,0,0
2017-10-17,46250,46013.957,45100,913.9570312,236.043,1150,0,0
2017-10-18,45100,45167.957,45000,167.9570313,-67.957,100,1,0
2017-10-19,45000,44577.82,45500,922.1796875,422.18,-500,0,1
2017-10-20,45500,45290.938,46600,1309.0625,209.062,-1100,0,1
2017-10-23,46600,46523.52,47000,476.4804687,76.48,-400,0,1
2017-10-24,47000,46717.78,46400,317.78125,282.22,600,0,0
2017-10-25,46400,46092.418,45300,792.4179688,307.582,1100,0,0
2017-10-26,45300,45147.64,45400,252.359375,152.36,-100,0,1
2017-10-27,45400,45163.633,44400,763.6328125,236.367,1000,0,0
2017-10-30,44400,44444.94,44650,205.0585937,-44.94,-250,0,0
2017-10-31,44650,44453.246,44750,296.7539063,196.754,-100,0,1
2017-11-01,44750,44374.875,46050,1675.125,375.125,-1300,0,1
2017-11-02,46050,45266.8,45900,633.1992187,783.2,150,0,0
2017-11-03,45900,45508.72,44750,758.71875,391.28,1150,0,0
2017-11-06,44750,44536.234,45450,913.765625,213.766,-700,0,1
2017-11-07,45450,44887.73,44250,637.7304688,562.27,1200,0,0
2017-11-08,44250,44238.402,44100,138.4023438,11.598,150,0,0
2017-11-09,44100,44114.74,44000,114.7382813,-14.74,100,1,0
2017-11-10,44000,43924.65,41400,2524.648438,75.35,2600,0,0
2017-11-13,41400,41486.85,41150,336.8515625,-86.85,250,1,0
2017-11-14,41150,40954.555,41050,95.4453125,195.445,100,0,0
2017-11-15,41050,40855.27,41800,944.7304688,194.73,-750,0,1
2017-11-17,41800,41683.582,41300,383.5820313,116.418,500,0,0
2017-11-20,41300,41269.133,40800,469.1328125,30.867,500,0,0
2017-11-21,40800,40492.766,41150,657.234375,307.234,-350,0,1
2017-11-22,41150,40859.918,40500,359.9179688,290.082,650,0,0
2017-11-24,40500,40237.793,40300,62.20703125,262.207,200,0,0
2017-11-27,40300,40050.02,40300,249.9804688,249.98,0,0,0
2017-11-28,40300,39935.402,41400,1464.597656,364.598,-1100,0,1
2017-11-29,41400,40742.98,41500,757.0195313,657.02,-100,0,1
2017-11-30,41500,41248.41,40750,498.4101563,251.59,750,0,0
2017-12-01,40750,40450.605,41350,899.3945313,299.395,-600,0,1
2017-12-04,41350,40922.58,42050,1127.421875,427.42,-700,0,1
2017-12-05,42050,41645.656,41550,95.65625,404.344,500,0,0
2017-12-06,41550,41509.13,40750,759.1289063,40.87,800,0,0
2017-12-07,40750,40797.55,39750,1047.550781,-47.55,1000,1,0
2017-12-08,39750,39607.68,40000,392.3203125,142.32,-250,0,1
2017-12-11,40000,39490.496,39500,9.50390625,509.504,500,0,0
2017-12-12,39500,39388.117,41500,2111.882813,111.883,-2000,0,1
2017-12-13,41500,41010.336,40700,310.3359375,489.664,800,0,0
2017-12-14,40700,40664.08,41550,885.921875,35.92,-850,0,1
2017-12-15,41550,41191.363,42000,808.6367188,358.637,-450,0,1
2017-12-18,42000,41721.79,41900,178.2109375,278.21,100,0,0
2017-12-19,41900,41662.082,40500,1162.082031,237.918,1400,0,0
2017-12-21,40500,40332.31,40700,367.6914063,167.69,-200,0,1
2017-12-22,40700,40505.15,41000,494.8515625,194.85,-300,0,1
2017-12-26,41000,40673.074,41050,376.9257813,326.926,-50,0,1
2017-12-27,41050,40811.258,41500,688.7421875,238.742,-450,0,1
2017-12-28,41500,40893.953,43000,2106.046875,606.047,-1500,0,1
2018-01-03,43000,42810.387,43600,789.6132813,189.613,-600,0,1
2018-01-04,43600,43479.895,46400,2920.105469,120.105,-2800,0,1
2018-01-05,46400,46084.66,45700,384.6601563,315.34,700,0,0
2018-01-08,45700,45615.887,45850,234.1132813,84.113,-150,0,1
2018-01-09,45850,45704.52,46000,295.4804688,145.48,-150,0,1
2018-01-10,46000,45870.32,44850,1020.320313,129.68,1150,0,0
2018-01-11,44850,44812.867,44650,162.8671875,37.133,200,0,0
2018-01-12,44650,44384.32,45850,1465.679688,265.68,-1200,0,1
2018-01-15,45850,45740.133,45000,740.1328125,109.867,850,0,0
2018-01-16,45000,44753.64,45000,246.359375,246.36,0,0,0
2018-01-17,45000,44767.12,45000,232.8789063,232.88,0,0,0
2018-01-18,45000,44833.367,46600,1766.632813,166.633,-1600,0,1
2018-01-19,46600,46058.08,47000,941.921875,541.92,-400,0,1
2018-01-22,47000,46757.867,48050,1292.132813,242.133,-1050,0,1
2018-01-23,48050,47526.574,46700,826.5742188,523.426,1350,0,0
2018-01-24,46700,46540.08,46950,409.921875,159.92,-250,0,1
2018-01-25,46950,46324.535,46950,625.4648438,625.465,0,0,0
2018-01-26,46950,46283.168,48200,1916.832031,666.832,-1250,0,1
2018-01-29,48200,47654.99,47150,504.9882813,545.01,1050,0,0
2018-01-30,47150,47349.32,47050,299.3203125,-199.32,100,1,0
2018-01-31,47050,46462.414,47000,537.5859375,587.586,50,0,0
2018-02-01,47000,46555.35,46400,155.3515625,444.65,600,0,0
2018-02-02,46400,46497.3,45500,997.3007813,-97.3,900,1,0
2018-02-05,45500,45414,44400,1014,86,1100,0,0
2018-02-06,44400,44060.387,43700,360.3867187,339.613,700,0,0
2018-02-07,43700,43818.254,43500,318.2539063,-118.254,200,1,0
2018-02-08,43500,43486.805,43650,163.1953125,13.195,-150,0,1
2018-02-09,43650,43055.035,42900,155.0351563,594.965,750,0,0
2018-02-12,42900,42587.312,41850,737.3125,312.688,1050,0,0
2018-02-13,41850,41771.79,41750,21.7890625,78.21,100,0,0
2018-02-14,41750,41511.188,42800,1288.8125,238.812,-1050,0,1
2018-02-19,42800,42364.55,42500,135.4492188,435.45,300,0,0
2018-02-20,42500,42189.055,42800,610.9453125,310.945,-300,0,1
2018-02-21,42800,42442.38,42300,142.3789063,357.62,500,0,0
2018-02-22,42300,41614.668,43050,1435.332031,685.332,-750,0,1
2018-02-23,43050,42690.438,43600,909.5625,359.562,-550,0,1
2018-02-26,43600,43277.65,44900,1622.351563,322.35,-1300,0,1
2018-02-27,44900,44867.25,44150,717.25,32.75,750,0,0
2018-02-28,44150,43903.02,42950,953.0195313,246.98,1200,0,0
2018-03-02,42950,42496.785,42450,46.78515625,453.215,500,0,0
2018-03-05,42450,42136.418,42200,63.58203125,313.582,250,0,0
2018-03-06,42200,42272.14,41700,572.140625,-72.14,500,1,0
2018-03-07,41700,41517.47,41600,82.53125,182.53,100,0,0
2018-03-08,41600,41479.617,42450,970.3828125,120.383,-850,0,1
2018-03-09,42450,41877.6,42450,572.3984375,572.4,0,0,0
2018-03-12,42450,42160.03,41500,660.03125,289.97,950,0,0
2018-03-13,41500,41079.254,41000,79.25390625,420.746,500,0,0
2018-03-14,41000,40466.836,41100,633.1640625,533.164,-100,0,1
